title,p-title,link,aid,cid
,MC1：对王晓佳的生日祝福,https://www.bilibili.com/video/av11622016/index_7.html,11622016,19205681
【SNH48】谢天依生日暨总选拉票公演 TeamX《梦想的旗帜》第三十六场 全场+生日冷餐会 CUT（20170624）,MC3：第一组（团内的初吻给了谁）第二组（对队里成员印象最深的口头禅）,https://www.bilibili.com/video/av11630366/index_4.html,11630366,19217515
,MC1：对笨笨的生日祝福,https://www.bilibili.com/video/av11630366/index_5.html,11630366,19217519
【SNH48】第四届偶像年度总决选速报TeamX《梦想的旗帜》第三十五场 全场 CUT（20170618）,MC3：第一组（现场演示自己膨胀的样子）第二组（如果被误抓入疯人院，怎样向医生证明自己正常？）,https://www.bilibili.com/video/av11438549/index_2.html,11438549,18913369
,MC2：夏日的午后有没有什么提神醒脑的方法？,https://www.bilibili.com/video/av11438549/index_3.html,11438549,18913370
,MC1：说一说和父亲之间发生过难忘的事,https://www.bilibili.com/video/av11438549/index_4.html,11438549,18913371
【SNH48】李晶生日暨总选拉票公演 TeamX《梦想的旗帜》第三十四场 全场 CUT（20170611）,MC3：第一组（看过哪个成员令人印象深刻的直播请模仿）第二组（对一些奇怪的东西异常执着的成员）,https://www.bilibili.com/video/av11253648/index_4.html,11253648,18659889
,MC1:对大米的生日祝福,https://www.bilibili.com/video/av11253648/index_5.html,11253648,18622767
【SNH48】TeamX《梦想的旗帜》第三十三场 冯晓菲、姚祎纯拉票公演全场 CUT（20170610）,MC3：第一组（给你一百万如何一天花完）第二组（自己哪一点被队友日常嫌弃）,https://www.bilibili.com/video/av11229962/index_3.html,11229962,18574404
,MC2：见过的奇怪的作文题目,https://www.bilibili.com/video/av11229962/index_4.html,11229962,18574405
,MC1：有没有遇到过同月同日生的人,https://www.bilibili.com/video/av11229962/index_6.html,11229962,18574406
【SNH48】TeamX《梦想的旗帜》第三十二场 全场 CUT（20170529）,MC3：第一组（自己左手边一个人对你唱一首歌形容你）;第二组(队里谁一说话就想笑,https://www.bilibili.com/video/av10914272/index_1.html,10914272,18075226
,MC2：你见过做好玩的备注是什么,https://www.bilibili.com/video/av10914272/index_2.html,10914272,18075221
